median_income,total_rooms,housing_median_age,total_bedrooms,median_house_value
2.3451055230711675,-0.8037929324103491,0.9821392783837107,-0.9703014690713372,2.128766550419364
2.3325745328880165,2.0420802239167117,-0.6061953312187999,1.3482429440668715,1.3135938887528675
1.7828958038456222,-0.5351761865084381,1.8557233136650915,-0.8255407636451031,1.258151752358972
0.9329471713809312,-0.6234948099480784,1.8557233136650915,-0.7187500793142746,1.1645931471942732
-0.013142587446921523,-0.4619586748486327,1.8557233136650915,-0.6119593949834461,1.1723896976246646
0.08721063645679548,-0.7859461639432715,1.8557233136650915,-0.7709588583204574,0.544334246287566
-0.11165301867664569,-0.04644929617923709,1.8557233136650915,-0.11597599442470959,0.7998878437281786
-0.3954957416907786,0.21393047966094583,1.8557233136650915,0.3539030166309356,0.2991760494208088
-0.942857817085868,-0.03729710722176142,1.0615560088638363,0.3016942376247528,0.1718323923910798
-0.09475197729516988,0.4175666839647796,1.8557233136650915,0.40136554300019267,0.4698338755082687
-0.35174257848826623,-0.19883324232120705,1.8557233136650915,-0.24649794194016658,0.646555685263811
-0.3162556567090924,0.3965166493625855,1.8557233136650915,0.5081562273310211,0.30264118294542725
-0.41918879035639905,-0.06658411188568357,1.8557233136650915,-0.1515728892016524,0.057482986078670105
-0.6305307844537336,-0.8879930708191253,1.8557233136650915,-0.8231676373266402,-0.1348319245376553
-1.0290478630094695,0.0029725241911315488,1.8557233136650915,0.20914231120470145,-0.412908889888288
-0.9193753732972753,-0.6939666649206411,1.6968898527048406,-0.6048400160280576,-0.5792352990699748
-0.5771424481272022,-0.30682907201942,1.8557233136650915,-0.4529599316464349,-0.47094987642564745
-0.9219026318216081,-0.6445448445502724,1.8557233136650915,-0.581108752843429,-0.4449613749910089
-0.9898753558823103,-0.18190169274987705,1.6968898527048406,-0.19666228925244664,-0.4172403067940611
-0.6675445915913584,-0.5187022463849819,1.8557233136650915,-0.5692431212511148,-0.3808564047855671
-1.3233155274364754,-0.8628245511860673,0.9027225479035852,-0.8397795215558802,-0.5142640454833785
-1.1360351405395601,-0.4564673614741473,1.0615560088638363,-0.4054974052771778,-0.40771118960136027
-1.1299802503250125,-0.09175263151874168,1.8557233136650915,0.007426574135358838,-0.8053352615513304
-0.8901012953904197,-0.4340444985283319,1.8557233136650915,-0.4766911948310634,-0.9283475016752862
-0.6692820818268371,-0.1887658344679838,1.8557233136650915,-0.23937856298477803,-0.6433402692754167
-0.7725837740089424,-0.9616681919268045,0.9821392783837107,-0.9845402269821143,-0.860777397945226
-0.7431517424443159,-0.6893905704419032,1.617473122224715,-0.6973919424481089,-0.9794582211634087
-1.0862797383417573,-0.3379465144748373,1.8557233136650915,-0.2773485840801837,-0.8781030655683184
-1.1734701574312403,-0.2537463760660611,1.6968898527048406,-0.10885661546932103,-0.8486494306090613
-1.149724457546363,-0.8728919590392905,1.8557233136650915,-0.8967345531989886,-0.6485379695623443
-1.0234141825489775,-0.3297095444131092,1.617473122224715,-0.21564729980014946,-0.7325674575343424
-1.005460116782363,-0.22125610526702247,1.8557233136650915,-0.13496100497241242,-0.7940735775963204
-1.0921240236792769,-0.3269638877258665,1.5380563917445895,-0.3058260999017379,-0.8356551798917421
-1.3142595177242828,-0.44914561030816674,1.617473122224715,-0.4078705315956407,-0.8833007658552461
